,index,Distrito,ID,Barrio,Votants  ,Abstenció  ,Total
0,0,1. CIUTAT VELLA,1,1. el Raval,9889,10425,20314
1,1,1. CIUTAT VELLA,2,2. el Barri Gòtic,4348,3613,7961
2,2,1. CIUTAT VELLA,3,3. la Barceloneta,4680,3928,8608
3,3,1. CIUTAT VELLA,4,"4. Sant Pere, Santa",6945,5096,12041
4,4,2. L'EIXAMPLE,5,5. el Fort Pienc,15285,6525,21810
5,5,2. L'EIXAMPLE,6,6. la Sagrada Família,25077,11203,36280
6,6,2. L'EIXAMPLE,7,7. la Dreta de l'Eixample,21310,8471,29781
7,7,2. L'EIXAMPLE,8,8. l'Antiga Esquerra de l'Eixample,20266,8871,29137
8,8,2. L'EIXAMPLE,9,9. la Nova Esquerra de l'Eixample,29297,12547,41844
9,9,2. L'EIXAMPLE,10,10. Sant Antoni,18091,8468,26559
10,10,3. SANTS-MONTJUÏC,11,11. el Poble Sec- AEI Parc Montjuïc,14310,9962,24272
11,11,3. SANTS-MONTJUÏC,12,12. la Marina del Prat Vermell-AEI Zona Franca,365,544,909
12,12,3. SANTS-MONTJUÏC,13,13. la Marina de Port,13127,8890,22017
13,13,3. SANTS-MONTJUÏC,14,14. la Font de la Guatlla,4732,2634,7366
14,14,3. SANTS-MONTJUÏC,15,15. Hostafrancs,7034,3770,10804
15,15,3. SANTS-MONTJUÏC,16,16. la Bordeta,9586,4833,14419
16,16,3. SANTS-MONTJUÏC,17,17. Sants-Badal,11341,6157,17498
17,17,3. SANTS-MONTJUÏC,18,18. Sants,20390,9328,29718
18,18,4. LES CORTS,19,19. les Corts,25826,9547,35373
19,19,4. LES CORTS,20,20. la Maternitat i Sant Ramon,13022,5181,18203
20,20,4. LES CORTS,21,21. Pedralbes,5849,2419,8268
21,21,5. SARRIÀ-SANT GERVASI,22,"22. Vallvidrera, el Tibidabo, i les Planes",2256,1008,3264
22,22,5. SARRIÀ-SANT GERVASI,23,23. Sarrià,12741,4783,17524
23,23,5. SARRIÀ-SANT GERVASI,24,24. les Tres Torres,8950,3153,12103
24,24,5. SARRIÀ-SANT GERVASI,25,25. Sant Gervasi-la Bonanova,13412,5348,18760
25,25,5. SARRIÀ-SANT GERVASI,26,26. Sant Gervasi-Galvany,25322,9531,34853
26,26,5. SARRIÀ-SANT GERVASI,27,27. el Putxet i el Farró,15622,5908,21530
27,27,6. GRÀCIA,28,28. Vallcarca i els Penitents,8180,3469,11649
28,28,6. GRÀCIA,29,29. el Coll,3511,1958,5469
29,29,6. GRÀCIA,30,30. la Salut,6923,2996,9919
30,30,6. GRÀCIA,31,31. la Vila de Gràcia,24603,10468,35071
31,31,6. GRÀCIA,32,32. el Camp d'en Grassot  i Gràcia Nova,19185,6823,26008
32,32,7. HORTA-GUINARDÓ,33,33. el Baix Guinardó,13198,6254,19452
33,33,7. HORTA-GUINARDÓ,34,34. Can Baró,4323,2427,6750
34,34,7. HORTA-GUINARDÓ,35,35. el Guinardó,17986,9162,27148
35,35,7. HORTA-GUINARDÓ,36,36. la Font d'en Fargues,5298,2103,7401
36,36,7. HORTA-GUINARDÓ,37,37. el Carmel,12816,10194,23010
37,37,7. HORTA-GUINARDÓ,38,38. la Teixonera,4951,3636,8587
38,38,7. HORTA-GUINARDÓ,39,39. Sant Genís   dels Agudells,3172,2061,5233
39,39,7. HORTA-GUINARDÓ,40,40. Montbau,2305,1576,3881
40,40,7. HORTA-GUINARDÓ,41,41. la Vall d'Hebron,3229,1354,4583
41,41,7. HORTA-GUINARDÓ,42,42. la Clota,297,187,484
42,42,7. HORTA-GUINARDÓ,43,43. Horta,13499,6880,20379
43,43,8. NOU BARRIS,44,44. Vilapicina i  la Torre Llobeta,12591,6494,19085
44,44,8. NOU BARRIS,45,45. Porta,10944,7431,18375
45,45,8. NOU BARRIS,46,46. el Turó de la Peira,5706,4656,10362
46,46,8. NOU BARRIS,47,47. Can Peguera,778,947,1725
47,47,8. NOU BARRIS,48,48. la Guineueta,7839,4117,11956
48,48,8. NOU BARRIS,49,49. Canyelles,3598,2029,5627
49,49,8. NOU BARRIS,50,50. les Roquetes,5182,5173,10355
50,50,8. NOU BARRIS,51,51. Verdun,4535,3938,8473
51,51,8. NOU BARRIS,52,52. la Prosperitat,11307,7955,19262
52,52,8. NOU BARRIS,53,53. la Trinitat Nova,2098,2806,4904
53,53,8. NOU BARRIS,54,54. Torre Baró,819,1061,1880
54,54,8. NOU BARRIS,55,55. Ciutat Meridiana,2886,3216,6102
55,55,8. NOU BARRIS,56,56. Vallbona,428,515,943
56,56,9. SANT ANDREU,57,57. la Trinitat Vella,2857,2942,5799
57,57,9. SANT ANDREU,58,58. Baró de Viver,820,1000,1820
58,58,9. SANT ANDREU,59,59. el Bon Pastor,4965,3677,8642
59,59,9. SANT ANDREU,60,60. Sant Andreu,31671,13319,44990
60,60,9. SANT ANDREU,61,61. la Sagrera,14965,7058,22023
61,61,9. SANT ANDREU,62,62. el Congrés i  els Indians,7085,3553,10638
62,62,9. SANT ANDREU,63,63. Navas,11308,5049,16357
63,63,10. SANT MARTÍ,64,64. el Camp de   l'Arpa del Clot,19132,8774,27906
64,64,10. SANT MARTÍ,65,65. el Clot,13545,6167,19712
65,65,10. SANT MARTÍ,66,66. el Parc i la Llacuna  del Poblenou,7243,3314,10557
66,66,10. SANT MARTÍ,67,67. la Vila Olímpica   del Poblenou,5037,1487,6524
67,67,10. SANT MARTÍ,68,68. el Poblenou,15930,6987,22917
68,68,10. SANT MARTÍ,69,69. Diagonal Mar i el Front   Marítim del Poblenou,6260,2507,8767
69,69,10. SANT MARTÍ,70,70. el Besòs i   el Maresme,7514,6772,14286
70,70,10. SANT MARTÍ,71,71. Provençals del  Poblenou,9907,5115,15022
71,71,10. SANT MARTÍ,72,72. Sant Martí de   Provençals,12965,6611,19576
72,72,10. SANT MARTÍ,73,73. la Verneda i la Pau,13519,8100,21619
